Jno,Name,Yubin,Address1,Address2,Kamoku1,Kamoku2,Kamoku3,Kamoku4,Kamoku5,Goukei,Junni
1034,高橋美咲,133-0003,北海道札幌市,34-34-34,87,69,59,96,66,377,45
1035,伊藤健太,134-0004,愛知県名古屋市,35-35-35,54,94,61,85,71,365,59
1036,渡辺直子,135-0005,宮城県仙台市,36-36-36,98,86,54,70,91,399,22
1037,山本大輔,136-0006,広島県広島市,37-37-37,65,76,91,91,56,379,42
1038,中村優子,137-0007,福岡県福岡市,38-38-38,96,81,60,87,55,379,42
1039,小林翔太,138-0008,長野県長野市,39-39-39,51,95,82,71,69,368,56
1040,加藤愛,139-0009,石川県金沢市,40-40-40,80,98,67,75,51,371,51
1041,山田太郎,140-0000,東京都千代田区,41-41-41,84,86,83,97,89,439,2
1042,佐藤花子,141-0001,東京都渋谷区,42-42-42,60,91,93,50,84,378,44
1043,鈴木一郎,142-0002,大阪府大阪市,43-43-43,56,94,56,75,58,339,90
1044,高橋美咲,143-0003,北海道札幌市,44-44-44,93,67,66,50,71,347,83
1045,伊藤健太,144-0004,愛知県名古屋市,45-45-45,75,65,59,54,74,327,95
1046,渡辺直子,145-0005,宮城県仙台市,46-46-46,69,54,62,70,86,341,89
1047,山本大輔,146-0006,広島県広島市,47-47-47,95,65,97,64,89,410,14
1048,中村優子,147-0007,福岡県福岡市,48-48-48,71,77,85,57,67,357,75
1049,小林翔太,148-0008,長野県長野市,49-49-49,99,74,67,85,73,398,25
1050,加藤愛,149-0009,石川県金沢市,50-50-50,80,97,66,58,62,363,64
1051,山田太郎,150-0000,東京都千代田区,51-51-51,74,66,93,66,61,360,68
1052,佐藤花子,151-0001,東京都渋谷区,52-52-52,69,71,52,71,89,352,79
1053,鈴木一郎,152-0002,大阪府大阪市,53-53-53,57,100,78,69,92,396,29
1054,高橋美咲,153-0003,北海道札幌市,54-54-54,59,91,91,94,78,413,13
1055,伊藤健太,154-0004,愛知県名古屋市,55-55-55,55,63,88,55,86,347,83
1056,渡辺直子,155-0005,宮城県仙台市,56-56-56,60,68,64,76,69,337,93
1057,山本大輔,156-0006,広島県広島市,57-57-57,55,67,70,71,99,362,66
1058,中村優子,157-0007,福岡県福岡市,58-58-58,73,80,89,83,74,399,22
1059,小林翔太,158-0008,長野県長野市,59-59-59,83,56,89,51,87,366,57
1060,加藤愛,159-0009,石川県金沢市,60-60-60,59,81,67,50,85,342,88
1061,山田太郎,160-0000,東京都千代田区,61-61-61,70,98,86,52,82,388,35
1062,佐藤花子,161-0001,東京都渋谷区,62-62-62,51,51,89,95,76,362,66
1063,鈴木一郎,162-0002,大阪府大阪市,63-63-63,57,98,79,73,74,381,41
1064,高橋美咲,163-0003,北海道札幌市,64-64-64,83,78,77,94,62,394,32
1065,伊藤健太,164-0004,愛知県名古屋市,65-65-65,55,57,77,75,90,354,77
1066,渡辺直子,165-0005,宮城県仙台市,66-66-66,65,71,99,66,59,360,68
1067,山本大輔,166-0006,広島県広島市,67-67-67,92,67,86,76,76,397,26
1068,中村優子,167-0007,福岡県福岡市,68-68-68,53,51,64,100,68,336,94
1069,小林翔太,168-0008,長野県長野市,69-69-69,85,91,71,75,69,391,33
1070,加藤愛,169-0009,石川県金沢市,70-70-70,64,89,83,75,62,373,49
1071,山田太郎,170-0000,東京都千代田区,71-71-71,52,56,99,76,55,338,92
1072,佐藤花子,171-0001,東京都渋谷区,72-72-72,82,78,65,83,56,364,61
1073,鈴木一郎,172-0002,大阪府大阪市,73-73-73,85,65,89,52,78,369,55
1074,高橋美咲,173-0003,北海道札幌市,74-74-74,65,69,97,89,100,420,9
1075,伊藤健太,174-0004,愛知県名古屋市,75-75-75,81,80,89,91,93,434,4
1076,渡辺直子,175-0005,宮城県仙台市,76-76-76,55,89,63,57,95,359,70
1077,山本大輔,176-0006,広島県広島市,77-77-77,77,63,65,61,54,320,96
1078,中村優子,177-0007,福岡県福岡市,78-78-78,60,89,78,99,70,396,29
1079,小林翔太,178-0008,長野県長野市,79-79-79,76,74,92,66,58,366,57
1080,加藤愛,179-0009,石川県金沢市,80-80-80,67,83,91,79,50,370,53
1081,山田太郎,180-0000,東京都千代田区,81-81-81,86,79,73,75,84,397,26
1082,佐藤花子,181-0001,東京都渋谷区,82-82-82,63,66,78,64,87,358,73
1083,鈴木一郎,182-0002,大阪府大阪市,83-83-83,85,67,54,93,52,351,81
1084,高橋美咲,183-0003,北海道札幌市,84-84-84,92,65,93,91,66,407,17
1085,伊藤健太,184-0004,愛知県名古屋市,85-85-85,70,83,97,58,88,396,29
1086,渡辺直子,185-0005,宮城県仙台市,86-86-86,71,52,75,51,56,305,99
1087,山本大輔,186-0006,広島県広島市,87-87-87,55,76,51,82,85,349,82
1088,中村優子,187-0007,福岡県福岡市,88-88-88,80,75,90,99,58,402,19
1089,小林翔太,188-0008,長野県長野市,89-89-89,59,95,76,98,57,385,38
1090,加藤愛,189-0009,石川県金沢市,90-90-90,63,85,84,73,99,404,18
1091,山田太郎,190-0000,東京都千代田区,91-91-91,71,71,58,51,60,311,97
1092,佐藤花子,191-0001,東京都渋谷区,92-92-92,80,95,55,70,83,383,39
1093,鈴木一郎,192-0002,大阪府大阪市,93-93-93,92,90,99,83,92,456,1
1094,高橋美咲,193-0003,北海道札幌市,94-94-94,87,85,76,83,66,397,26
1095,伊藤健太,194-0004,愛知県名古屋市,95-95-95,50,64,89,94,67,364,61
1096,渡辺直子,195-0005,宮城県仙台市,96-96-96,83,57,83,92,59,374,47
1097,山本大輔,196-0006,広島県広島市,97-97-97,91,92,92,60,80,415,11
1098,中村優子,197-0007,福岡県福岡市,98-98-98,76,52,54,73,56,311,97
1099,小林翔太,198-0008,長野県長野市,99-99-99,93,89,53,58,52,345,85
1100,加藤愛,199-0009,石川県金沢市,100-100-100,73,77,72,84,59,365,59
